7,0,0,100,0,0,0,0
7,82,0,100,0,0,0,0
7,164,0,100,0,0,0,0
7,246,0,100,0,0,0,0
7,328,0,100,0,0,0,0
7,410,0,100,0,0,0,0
7,492,0,100,0,0,0,0
7,574,0,100,0,0,0,0
7,656,0,100,0,0,0,0
7,738,0,100,0,0,0,0
7,820,0,100,0,0,0,0
7,902,0,100,0,0,0,0
7,984,0,100,0,0,0,0
7,1066,0,100,0,0,0,0
7,1148,0,100,0,0,0,0
7,1230,0,100,0,0,0,0
7,1312,0,100,0,0,0,0
7,1394,0,100,0,0,0,0
7,1476,0,100,0,0,0,0
7,1558,0,100,0,0,0,0
7,1640,0,100,0,0,0,0
7,1638,0,100,0,0,0,0
7,1556,0,100,0,0,0,0
7,1474,0,100,0,0,0,0
7,1392,0,100,0,0,0,0
7,1310,0,100,0,0,0,0
7,1228,0,100,0,0,0,0
7,1146,0,100,0,0,0,0
7,1064,0,100,0,0,0,0
7,982,0,100,0,0,0,0
7,900,0,100,0,0,0,0
7,818,0,100,0,0,0,0
7,736,0,100,0,0,0,0
7,654,0,100,0,0,0,0
7,572,0,100,0,0,0,0
7,490,0,100,0,0,0,0
7,408,0,100,0,0,0,0
7,326,0,100,0,0,0,0
7,244,0,100,0,0,0,0
7,162,0,100,0,0,0,0
7,80,0,100,0,0,0,0
7,2,0,100,0,0,0,0
7,0,0,100,1,0,0,0
7,82,0,100,1,0,0,0
7,164,0,100,1,0,0,0
7,246,0,100,1,0,0,0
7,328,0,100,1,0,0,0
7,410,0,100,1,0,0,0
7,492,0,100,1,0,0,0
7,574,0,100,1,0,0,0
7,656,0,100,1,0,0,0
7,738,0,100,1,0,0,0
7,820,0,100,1,0,0,0
7,902,0,100,1,0,0,0
7,984,0,100,1,0,0,0
7,1066,0,100,1,0,0,0
7,1148,0,100,1,0,0,0
7,1230,0,100,1,0,0,0
7,1312,0,100,1,0,0,0
7,1394,0,100,1,0,0,0
7,1476,0,100,1,0,0,0
7,1558,0,100,1,0,0,0
7,1640,0,100,1,0,0,0
7,1638,0,100,1,0,0,0
7,1556,0,100,1,0,0,0
7,1474,0,100,1,0,0,0
7,1392,0,100,1,0,0,0
7,1310,0,100,1,0,0,0
7,1228,0,100,1,0,0,0
7,1146,0,100,1,0,0,0
7,1064,0,100,1,0,0,0
7,982,0,100,1,0,0,0
7,900,0,100,1,0,0,0
7,818,0,100,1,0,0,0
7,736,0,100,1,0,0,0
7,654,0,100,1,0,0,0
7,572,0,100,1,0,0,0
7,490,0,100,1,0,0,0
7,408,0,100,1,0,0,0
7,326,0,100,1,0,0,0
7,244,0,100,1,0,0,0
7,162,0,100,1,0,0,0
7,80,0,100,1,0,0,0
7,2,0,100,1,0,0,0
